model_family,model_name,view_or_cluster,balanced_accuracy,recall,precision,f1,K_0,K_1,vweight_0,vweight_1,vweight_2,delta_vs_best_single_bal_acc,delta_vs_best_single_recall
multi_view_cluster,cluster_1,cluster_1,0.5907105817118093,0.7206138517279822,,,5.0,4.65,0.3753975971436399,0.3243262036409389,0.3002761992154211,0.01464074903147361,0.06550787870293406
multi_view_cluster,cluster_2,cluster_2,0.5881498142726349,0.6625325157933853,,,7.0,3.5,0.0049244060696782,0.044292453593318,0.9507831403370036,0.012079981592299172,0.007426542768337208
multi_view_cluster,cluster_4,cluster_4,0.587257002106442,0.6503843831289484,,,5.15,6.6,0.5695593957187537,0.2782721898961161,0.1521684143851301,0.011187169426106314,-0.0047215898960997205
multi_view_cluster,cluster_3,cluster_3,0.5871282144455837,0.6478075065031587,,,4.666666666666667,3.6666666666666665,0.0023809653394591,0.9951507283813316,0.0024683062792093,0.011058381765247982,-0.0072984665218894795
multi_view_cluster,cluster_0,cluster_0,0.58516571318588,0.5050376254180602,,,5.5,7.75,1.0,0.0,0.0,0.009095880505544218,-0.15006834760698795
multi_view_fixed_profile,C4_primary,C4_primary,0.581727356285262,0.6831310679611651,0.5807713628728172,0.6262845397401998,3.0,5.0,,,,0.005657523604926218,0.028025094936116934
single_view,hs,hs,0.5760698326803357,0.6242774566473989,0.5816876122082585,0.6022304832713755,,,,,,0.0,-0.030828516377649273
multi_view_fixed_profile,C3_secondary,C3_secondary,0.5758540629119686,0.6542849141150112,0.5754989369980015,0.6095632749300994,6.0,3.0,,,,-0.00021576976836712447,-0.0008210589100369203
single_view,naics,naics,0.5757931139495522,0.5173410404624278,0.5979955456570156,0.5547520661157026,,,,,,-0.0002767187307834984,-0.13776493256262035
multi_view_fixed_profile,C3_primary,C3_primary,0.569235598543851,0.7140123226288274,0.5649508782171806,0.6289012119194084,4.0,3.0,,,,-0.0068342341364847625,0.05890634960377927
multi_view_fixed_profile,C0_primary,C0_primary,0.5692298840010352,0.5914488424197162,0.5772374244561547,0.5827271908668228,6.0,5.0,,,,-0.006839948679300489,-0.06365713060533196
multi_view_fixed_profile,C0_secondary,C0_secondary,0.5647657166381161,0.6280059746079163,0.5699332627784461,0.5960501994868469,4.0,6.0,,,,-0.011304116042219592,-0.027099998417131843
multi_view_fixed_profile,C4_secondary,C4_secondary,0.5642430567968015,0.5510175504107543,0.5782958220661903,0.5618558815456035,4.0,4.0,,,,-0.011826775883534202,-0.10408842261429385
single_view,am,am,0.5529835842835473,0.6551059730250481,0.5564648117839607,0.6017699115044247,,,,,,-0.02308624839678841,0.0
