run_name,fold,train_size,val_size,balanced_accuracy,recall,precision,f1,accuracy,random_state,K,T,eta,v_init,track_path,track_vweights,track_metrics,vweight_0,vweight_1,vweight_2,prototype_indices,prototypes_label_0,prototypes_label_1,profile_name,K_0,K_1
C3_primary_k0_4_k1_3,0,1822,203,0.601544289044289,0.7788461538461539,0.5869565217391305,0.6694214876033059,0.6059113300492611,42,"{0: 4, 1: 3}",150,0.0,[0.376 0.323 0.301],True,True,True,0.376,0.323,0.301,"[1431, 1093, 246, 845, 1118, 1571, 1628]","[1431, 1093, 246, 845]","[1118, 1571, 1628]",C3_primary,4,3
C3_primary_k0_4_k1_3,1,1822,203,0.614559052059052,0.6634615384615384,0.6160714285714286,0.6388888888888888,0.6157635467980296,42,"{0: 4, 1: 3}",150,0.0,[0.376 0.323 0.301],True,True,True,0.376,0.323,0.301,"[1527, 1111, 1521, 1686, 1177, 1626, 1571]","[1527, 1111, 1521, 1686]","[1177, 1626, 1571]",C3_primary,4,3
C3_primary_k0_4_k1_3,2,1822,203,0.5810994560994561,0.7884615384615384,0.5694444444444444,0.661290322580645,0.5862068965517241,42,"{0: 4, 1: 3}",150,0.0,[0.376 0.323 0.301],True,True,True,0.376,0.323,0.301,"[330, 1736, 1563, 1683, 1567, 1119, 1625]","[330, 1736, 1563, 1683]","[1567, 1119, 1625]",C3_primary,4,3
C3_primary_k0_4_k1_3,3,1822,203,0.5820707070707071,0.75,0.5735294117647058,0.65,0.5862068965517241,42,"{0: 4, 1: 3}",150,0.0,[0.376 0.323 0.301],True,True,True,0.376,0.323,0.301,"[1086, 513, 1736, 260, 1566, 1622, 690]","[1086, 513, 1736, 260]","[1566, 1622, 690]",C3_primary,4,3
C3_primary_k0_4_k1_3,4,1822,203,0.4878593628593629,0.4807692307692308,0.5,0.49019607843137253,0.4876847290640394,42,"{0: 4, 1: 3}",150,0.0,[0.376 0.323 0.301],True,True,True,0.376,0.323,0.301,"[1688, 338, 1264, 527, 898, 1816, 1626]","[1688, 338, 1264, 527]","[898, 1816, 1626]",C3_primary,4,3
C3_primary_k0_4_k1_3,5,1823,202,0.5688775510204082,0.75,0.5652173913043478,0.6446280991735538,0.5742574257425742,42,"{0: 4, 1: 3}",150,0.0,[0.376 0.323 0.301],True,True,True,0.376,0.323,0.301,"[329, 1740, 1520, 1688, 1623, 1110, 1563]","[329, 1740, 1520, 1688]","[1623, 1110, 1563]",C3_primary,4,3
C3_primary_k0_4_k1_3,6,1823,202,0.5562205651491365,0.6634615384615384,0.5609756097560976,0.6079295154185023,0.5594059405940595,42,"{0: 4, 1: 3}",150,0.0,[0.376 0.323 0.301],True,True,True,0.376,0.323,0.301,"[110, 903, 1521, 339, 1628, 1199, 759]","[110, 903, 1521, 339]","[1628, 1199, 759]",C3_primary,4,3
C3_primary_k0_4_k1_3,7,1823,202,0.5349293563579278,0.6923076923076923,0.5413533834586466,0.6075949367088608,0.5396039603960396,42,"{0: 4, 1: 3}",150,0.0,[0.376 0.323 0.301],True,True,True,0.376,0.323,0.301,"[177, 1067, 336, 1682, 1625, 1523, 755]","[177, 1067, 336, 1682]","[1625, 1523, 755]",C3_primary,4,3
C3_primary_k0_4_k1_3,8,1823,202,0.5456997156026282,0.7378640776699029,0.5428571428571428,0.6255144032921811,0.5495049504950495,42,"{0: 4, 1: 3}",150,0.0,[0.376 0.323 0.301],True,True,True,0.376,0.323,0.301,"[1534, 1739, 339, 1688, 1143, 1574, 1629]","[1534, 1739, 339, 1688]","[1143, 1574, 1629]",C3_primary,4,3
C3_primary_k0_4_k1_3,9,1823,202,0.6194959301755418,0.8349514563106796,0.593103448275862,0.6935483870967742,0.6237623762376238,42,"{0: 4, 1: 3}",150,0.0,[0.376 0.323 0.301],True,True,True,0.376,0.323,0.301,"[1166, 653, 255, 1439, 1307, 1132, 839]","[1166, 653, 255, 1439]","[1307, 1132, 839]",C3_primary,4,3
