run_name,fold,train_size,val_size,balanced_accuracy,recall,precision,f1,accuracy,random_state,K,T,eta,v_init,track_path,track_vweights,track_metrics,vweight_0,vweight_1,vweight_2,prototype_indices,prototypes_label_0,prototypes_label_1,K_0,K_1
m3glvq_k0_3_k1_3_eta_0003,0,1620,405,0.5765692112456072,0.8028846153846154,0.5661016949152542,0.6640159045725647,0.582716049382716,42,"{0: 3, 1: 3}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.3556970757731645,0.328191637446988,0.3161112867798473,"[222, 1269, 299, 630, 1398, 1447]","[222, 1269, 299]","[630, 1398, 1447]",3,3
m3glvq_k0_3_k1_3_eta_0003,1,1620,405,0.5151552128074971,0.5480769230769231,0.5277777777777778,0.5377358490566038,0.5160493827160494,42,"{0: 3, 1: 3}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.5677691244492552,0.2160142609038374,0.2162166146469073,"[453, 198, 294, 692, 201, 1442]","[453, 198, 294]","[692, 201, 1442]",3,3
m3glvq_k0_3_k1_3_eta_0003,2,1620,405,0.5831218274111676,0.75,0.5756457564575646,0.651356993736952,0.5876543209876544,42,"{0: 3, 1: 3}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.3409141845442705,0.3360089502161865,0.3230768652395431,"[1503, 1548, 1247, 978, 1359, 1442]","[1503, 1548, 1247]","[978, 1359, 1442]",3,3
m3glvq_k0_3_k1_3_eta_0003,3,1620,405,0.5547870004391744,0.7004830917874396,0.5534351145038168,0.6183368869936035,0.5580246913580247,42,"{0: 3, 1: 3}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.3179066871585453,0.3852297809640932,0.2968635318773616,"[302, 957, 1492, 1444, 453, 25]","[302, 957, 1492]","[1444, 453, 25]",3,3
m3glvq_k0_3_k1_3_eta_0003,4,1620,405,0.5851998243302592,0.8067632850241546,0.5699658703071673,0.668,0.5901234567901235,42,"{0: 3, 1: 3}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.3446727613206433,0.334191301270639,0.3211359374087177,"[1005, 1545, 233, 759, 1258, 1025]","[1005, 1545, 233]","[759, 1258, 1025]",3,3
m3glvq_k0_3_k1_4_eta_0003,0,1620,405,0.6130539828192112,0.6778846153846154,0.6130434782608696,0.6438356164383562,0.6148148148148148,42,"{0: 3, 1: 4}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.5405115431377053,0.3311576551695862,0.1283308016927084,"[222, 1352, 983, 462, 1447, 668, 1398]","[222, 1352, 983]","[462, 1447, 668, 1398]",3,4
m3glvq_k0_3_k1_4_eta_0003,1,1620,405,0.577106110894182,0.7836538461538461,0.5679442508710801,0.6585858585858585,0.582716049382716,42,"{0: 3, 1: 4}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.5283240985947717,0.3474657939211479,0.1242101074840803,"[1543, 958, 226, 1390, 1349, 1442, 148]","[1543, 958, 226]","[1390, 1349, 1442, 148]",3,4
m3glvq_k0_3_k1_4_eta_0003,2,1620,405,0.580449531433034,0.7548076923076923,0.572992700729927,0.6514522821576764,0.5851851851851851,42,"{0: 3, 1: 4}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.3462984476757951,0.3358970844590057,0.3178044678651992,"[1247, 1503, 1548, 698, 978, 1392, 1442]","[1247, 1503, 1548]","[698, 978, 1392, 1442]",3,4
m3glvq_k0_3_k1_4_eta_0003,3,1620,405,0.5507246376811594,0.6570048309178744,0.5528455284552846,0.6004415011037527,0.5530864197530864,42,"{0: 3, 1: 4}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.5461807228575407,0.3235202747543145,0.1302990023881447,"[1039, 745, 1492, 682, 1444, 194, 840]","[1039, 745, 1492]","[682, 1444, 194, 840]",3,4
m3glvq_k0_3_k1_4_eta_0003,4,1620,405,0.580149319279754,0.6956521739130435,0.576,0.6301969365426695,0.582716049382716,42,"{0: 3, 1: 4}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.5541530970580433,0.2850933773422608,0.1607535255996959,"[233, 973, 1005, 1258, 1025, 1368, 759]","[233, 973, 1005]","[1258, 1025, 1368, 759]",3,4
